file_name,video,start,end,duration,whisper_text,corrected_text,was_edited
clips/domdrj3cspx_000000.wav,DOMDrJ3CspX.mp4,0.0,5.74,5.74,Најверојатно веќе го имаш видено овај горстен ензимски пилинг кој е вирален на ТикТок и денеска конечно го пробувам.,Најверојатно веќе го имаш видено овај горстен ензимски пилинг кој е вирален на ТикТок и денеска конечно го пробувам.,no
clips/domdrj3cspx_000001.wav,DOMDrJ3CspX.mp4,5.74,16.88,11.14,"Значи ово не е обичен пилинг, содрже 3% килибарна киселина и ензим промелаин, што значи дека нежно ги раствара мртвите клетки, го изедначува тено и помага кај акни, хиперпигментација и цранки.","Значи овоа не е обичен пилинг, содржи три проценти ќилибарна киселина и ензим бромелаин, што значи дека нежно ги раствора мртвите клетки, го изедначува тенот и помага кај акни, хиперпигментација и црнки.",yes
clips/domdrj3cspx_000002.wav,DOMDrJ3CspX.mp4,17.16,23.74,6.58,"Безбеден е за сите типови кожа, значи за сува, мрсна, мешовита, па дури за чувствителна, а може да го користат дури и трудници.","Безбеден е за сите типови кожа, значи за сува, мрсна, мешовита, па дури за чувствителна, а може да го користат дури и трудници.",no
clips/domdrj3cspx_000003.wav,DOMDrJ3CspX.mp4,23.74,35.36,11.62,"Ева како се користе, најпрвен го чистеш лицето нормално, после нанесуваш тенок слојот пилинго, насува или малку на влажнета кожа и избегнуваш областта оголочите. Оставаш да делува 15-30 минути, додека ензимите ја прават својата магија.","Еве како се користе, најпрвин го чистеш лицето нормално, после нанесуваш тенок слој од пилингот, на сува или на малку навлажнета кожа и избегнуваш ја областа околу очите. Оставаш да делува 15-30 минути, додека ензимите ја прават својата магија.",yes
clips/domdrj3cspx_000004.wav,DOMDrJ3CspX.mp4,35.36,42.54,7.18,"После изплакнуваш и нанесуваш хидратантен серум и крема, како што можеш да видиш мојата е веќе при крај и ми е умилена за секогаш, if you know, you know.","После изплакнуваш и нанесуваш хидратантен серум и крема, како што можеш да видиш мојата е веќе при крај и ми е омилена засекогаш, if you know, you know.",yes
clips/domdrj3cspx_000005.wav,DOMDrJ3CspX.mp4,42.64,48.6,5.96,"Ено и за чувствителна кожа, доволно е да окуристаш пилинго само еднашка неделно, а за нормална до мрсна кожа, од 2 до 3 пати неделно.","За чувствителна кожа, доволно е да го користеш пилингот само еднашка неделно, а за нормална до мрсна кожа, 2 до 3 пати неделно.",yes
clips/domdrj3cspx_000006.wav,DOMDrJ3CspX.mp4,48.62,57.12,8.5,"И за крај, не забравјај, фактор за лице следниот ден, обовезно за тоа што кожата ќе биде екстра свежа и блескава, но и по чувствителна солнце, за тоа што сепак станува збор за ензимски пилинг.","И за крај, не заборавај, фактор за лице следниот ден, обавезно за тоа што кожата ќе биде екстра свежа и блескава, но и почувствителна на сонце, за тоа што сепак станува збор за ензимски пилинг.",yes
clips/domdrj3cspx_000007.wav,DOMDrJ3CspX.mp4,57.12,63.82,6.7,"Искрено, кожата изгледа толку мазна и освежена после ово и сега почнува да ми се разјаснува за што сите беа пседнати со ова ензински пилинг.","Искрено, кожата изгледа толку мазна и освежена после ова и сега почнува да ми се разјаснува за што сите беа опседнати со овој ензимски пилинг.",yes
clips/do_hhbydme9_000000.wav,DO_hHbyDME9.mp4,0.11,6.31,6.2,"Ах, доме, сладок доме. А и некој веќе, знаете, мене најубаво ми е кога сум дома опуштена во мојата комфорна зона.","Ах, доме, сладок доме. А инаку вие веќе знаете мене најубаво ми е кога сум дома опуштена во мојата комфорна зона.",yes
clips/do_hhbydme9_000001.wav,DO_hHbyDME9.mp4,6.47,9.49,3.02,"Сега сети имат по некоја хобија, имам и јас да скролам мебел.","Е сега сите имаат по некое хоби, имам и јас, да скролам мебел.",yes
clips/do_hhbydme9_000002.wav,DO_hHbyDME9.mp4,9.99,14.15,4.16,"Иако скоро целиот мој дом е оприхмен од Вели Ахом, секогаш нешто ми хаја.","Иако скоро целиот мој дом е опремен од Велеа Хоум, секогаш нешто ми фали.",yes
clips/do_hhbydme9_000003.wav,DO_hHbyDME9.mp4,14.15,16.57,2.42,"Знаете како викаат, ново парче, нова енергија.","Знаете како викаат, ново парче, нова енергија.",no
clips/do_hhbydme9_000005.wav,DO_hHbyDME9.mp4,18.73,22.89,4.16,"Страната им е толку богата, организирана и функционална, што секогаш ми дават некоја избирација.","Страната им е толку богата, организирана и функционална, што секогаш ми дава некоја инспирација.",no
clips/do_hhbydme9_000006.wav,DO_hHbyDME9.mp4,22.95,25.67,2.72,"Например, оваа масичка одлично ќе се вклопите и моите дома.","На пример, оваа масичка одлично ќе се вклопи кај моите дома.",yes
clips/do_hhbydme9_000007.wav,DO_hHbyDME9.mp4,25.95,30.45,4.5,"Но чекайте, кога нарачувате онлайн, посебно мебел, сигурно ви се појавуваат овие миси.","Но чекајте, кога нарачувате онлајн, посебно мебел, сигурно ви се појавуваат овие мисли.",no
clips/do_hhbydme9_000008.wav,DO_hHbyDME9.mp4,30.49,33.61,3.12,"Масичката на вебстраницата изгледа убава, ама дали е истата во живе?","Масичката на вебстраницата изгледа убава, ама дали е истата во живо?",no
clips/do_hhbydme9_000009.wav,DO_hHbyDME9.mp4,33.65,36.73,3.08,"На интернет секогаш се ја е совршена, ама не можеш на сите да им веруваш.","На интернет секогаш се е совршено, ама не можеш на сите да им веруваш.",yes
clips/do_hhbydme9_000010.wav,DO_hHbyDME9.mp4,36.85,38.05,1.2,"Јелена, сколаш.","Јелена, престани да скролаш.",no
clips/do_hhbydme9_000011.wav,DO_hHbyDME9.mp4,38.98,41.42,2.44,"Најбово е ти, драга наша, да додеш пене аз во салон,","Најубаво е ти, драга наша да дојдеш кај нас во салон",no
clips/do_hhbydme9_000012.wav,DO_hHbyDME9.mp4,41.42,43.58,2.16,Па да видиш дали производите не се исти на веб страната,Па да видиш дали производите ни се исти на веб страната,yes
clips/do_hhbydme9_000013.wav,DO_hHbyDME9.mp4,43.58,44.84,1.26,И овде во салонот,И овде во салонот,no
clips/do_hhbydme9_000014.wav,DO_hHbyDME9.mp4,44.84,46.0,1.16,"Ајде, дойдите, чекаме",Ајде дојди те чекаме,no
clips/do_hhbydme9_000015.wav,DO_hHbyDME9.mp4,46.0,47.54,1.54,И мене да не ми речеш два пати,И мене да не ми речеш два пати,no
