audio,text
clips/dvtzhgajmmx_000000.wav,МОЖАМ ДА ГО ДОПРАМ
clips/dvtzhgajmmx_000001.wav,ИСТОТО МЕСТО
clips/dvtzhgajmmx_000002.wav,BE3 ИЗGOREНИЦИ.
clips/dvtzhgajmmx_000003.wav,КОГА КЕ ГО ВРАТАМ
clips/dvtzhgajmmx_000004.wav,"САДОТ, ГОТВЕНЕТО"
clips/dvtzhgajmmx_000005.wav,ПРОДОЛЖУВА ВЕДНАШ. 1
clips/dvtzhgajmmx_000006.wav,BЕРОJАТНО СЕ
clips/dvtzhgajmmx_000007.wav,ПРАШУВАТЕ КАКО
clips/dvtzhgajmmx_000008.wav,Е ТОА МОЖНО?
clips/dvtzhgajmmx_000009.wav,ТОА Е УРЕД
clips/dvtzhgajmmx_000010.wav,ВГРАДЕНА ПОД ОВАА
clips/dvtzhgajmmx_000011.wav,РАБОТНАТА ПОВРШИНА
clips/dvtzhgajmmx_000012.wav,ОСТАНУВА БЕЗБЕДНА
clips/dvtzhgajmmx_000013.wav,ИСТОТО МЕСТО МОЖЕ
clips/dvtzhgajmmx_000014.wav,ДА СЕ КОРИСТИ ЗА
clips/dvtzhgajmmx_000015.wav,"ХРАНА, СЕЧЕНЕ, ПА"
clips/dvtrjsaiftl_000000.wav,Баба Ружо
clips/dvtrjsaiftl_000001.wav,"CJIM Мајни ми се, не си зайдала по мене!!"
clips/dvtrjsaiftl_000002.wav,Ах бе аздисани неедни!! Добарден!
clips/dvtrjsaiftl_000003.wav,WID и То игенл иипижеr
clips/dvtrjsaiftl_000004.wav,То игнл и ипижег WID
clips/dvtrjsaiftl_000005.wav,"златнички, шо убави се!"
clips/dvtrjsaiftl_000006.wav,Евва. пулека бабе!
clips/dvtrjsaiftl_000007.wav,Ама треба да траа сус гудини бе кере!
clips/dvtrjsaiftl_000008.wav,реба да прави впечаток
clips/dvtrjsaiftl_000009.wav,"Значи, треба да не праа прублем"
clips/dvtrjsaiftl_000010.wav,MILD и раат да си чинам 6e kepе...
clips/dvtrjsaiftl_000011.wav,B0 раат да си чинам 6e ќepe...
clips/dvtrjsaiftl_000012.wav,шилеже неедно.. Мора дае проверено
clips/dvtrjsaiftl_000013.wav,beko Морадае проверено 6 шилеже неедно.
clips/dvtrjsaiftl_000014.wav,"трикови,виеможете еможносо новата нирана од Ога Ito."
clips/dvtrjsaiftl_000015.wav,"gorenjs трикови,виеможете еможно со новата нирана одОrа lto Ама мора дае ново!!!"
clips/dvtrjsaiftl_000016.wav,"трикови,виеможете еможносо новата ирана од Ora Ito. Ама треба да е а'слно... проверена работа!"
clips/dvtrjsaiftl_000017.wav,ИЗЛЕЗ CA ЕСАПО напрааш Скапо! данe e
clips/dvtrjsaiftl_000018.wav,. прв пат да се согласа со снаата за нешто.
clips/dvtrjsaiftl_000019.wav,"Cla Две генерации, две мислена..."
clips/dvtrjsaiftl_000020.wav,Cl co Еден избор MO
clips/dvtrjsaiftl_000021.wav,Ла и кафенце ни сварии тука
clips/dvtrjsaiftl_000022.wav,не на тебе ке ти текне да ми свараш..
clips/dvtrjsaiftl_000023.wav,"Ај арно се имме, да не се раскараме ајде..."
clips/dvy8sdgeqtb_000000.wav,ништо не питувам ac camo гледам! РАДАР
