file_name,video,start,end,duration,whisper_text,corrected_text,was_edited
clips/7614176017476848914_000000.wav,7614176017476848914.mp4,0.0,3.78,3.78,"Кога ќе спомнеме студентско организирање и студентско тело,","Кога ќе спомнеме студентско организирање и студентско тело,",no
clips/7614176017476848914_000001.wav,7614176017476848914.mp4,3.82,9.24,5.42,веднаш на тие студенти им се припишува дека застапуваат интереси,веднаш на тие студенти им се препишува дека застапуваат интереси,yes
clips/7614176017476848914_000002.wav,7614176017476848914.mp4,9.24,12.94,3.7,на одредена политичка партија или дека сакаат да спроведат,на одредена политичка партија или дека сакаат да спроведат,no
clips/7614176017476848914_000003.wav,7614176017476848914.mp4,12.94,14.98,2.04,одредена политичка пропаганда.,одредена политичка пропаганда.,no
clips/7614176017476848914_000005.wav,7614176017476848914.mp4,16.1,21.62,5.52,"Секуј си има право да си биде определен политички, приватно.","Секој си има право да си биде определен политички, приватно.",yes
clips/7614176017476848914_000006.wav,7614176017476848914.mp4,21.96,24.92,2.96,"Но тоа, доколку е вешено во студентскиот активизм,","Но тоа, доколку е вмешано во студентскиот активизм,",yes
clips/7614176017476848914_000007.wav,7614176017476848914.mp4,25.64,29.46,3.82,не е етички само доколку не знае да се стави разлика и граница.,не е етички само доколку не знае да се стави разлика и граница.,no
clips/7614176017476848914_000008.wav,7614176017476848914.mp4,30.1,39.3,9.2,"Има луѓе, како што ги кажува, кои што се вмешани во партија и имаат приватен партијски живот, кај што се партијски активни,","Има луѓе, како што ги кажуваш, кои што се вмешани во партија и имаат приватен партиски живот, кај што се партиски активни,",yes
clips/7614176017476848914_000009.wav,7614176017476848914.mp4,39.36,50.33,10.97,"но имаме луѓе кои што истите тие луѓе се вмешани во студенцки активизам не директно, но тоа не го мешаат со своите приватни определби.","но имаме луѓе кои што истите тие луѓе се вмешани во студентски активизам не директно, но тоа не го мешаат со своите приватни определби.",yes
clips/7614176017476848914_000010.wav,7614176017476848914.mp4,50.77,57.01,6.24,Не е етички доколку тие луѓе не знаат да направат разлика и се чисти партијски патрони.,Не е етички доколку тие луѓе не знаат да направат разлика и се чисти партијски патрони.,no
clips/7615629414516247815_000000.wav,7615629414516247815.mp4,0.0,3.24,3.24,Јас ја водам таа иницијатива за заголемување на студентскиот оброк,Јас ја водам таа иницијатива за зголемување на студентскиот оброк,yes
clips/7615629414516247815_000001.wav,7615629414516247815.mp4,3.24,4.52,1.28,само по барање на студентите.,само по барање на студентите.,no
clips/7615629414516247815_000003.wav,7615629414516247815.mp4,5.56,10.6,5.04,"Економски гледано, тој студентски оброк, доколку се инвестира,","Економски гледано, тој студентски оброк, доколку се инвестира,",no
clips/7615629414516247815_000004.wav,7615629414516247815.mp4,11.26,13.72,2.46,"е многу поврзо ке имаме зграда на Финки,","е многу побрзо ке имаме зграда на Финки,",yes
clips/7615629414516247815_000005.wav,7615629414516247815.mp4,13.88,15.38,1.5,"многу поврзо ке имаме дивки на зграда,","многу поврзо диф ќе има зграда,",yes
clips/7615629414516247815_000006.wav,7615629414516247815.mp4,15.54,18.82,3.28,многу поврзо ке се реконструират студентските домовини.,многу побрзо ке се реконструират студентските домовини.,yes
clips/7615629414516247815_000007.wav,7615629414516247815.mp4,18.92,21.92,3.0,Нема да ни треба донација од Европска Унија.,Нема да ни треба донација од Европска Унија.,no
clips/7615629414516247815_000008.wav,7615629414516247815.mp4,22.04,23.86,1.82,Нема да ни треба такви нас донација.,Нема да ни требаат такви нас донации.,yes
clips/7615629414516247815_000009.wav,7615629414516247815.mp4,23.86,29.04,5.18,"Ние дефинитивно, значит, околу 14 до 15 милиони евра се вложуваат","Ние дефинитивно, значи, околу 14 до 15 милиони евра се вложуваат",yes
clips/7615629414516247815_000010.wav,7615629414516247815.mp4,29.04,34.72,5.68,секој пат во студенцки оброк. Тоа се пари кои што наистина,секој пат во студентски оброк. Тоа се пари кои што навистина,yes
clips/7615629414516247815_000011.wav,7615629414516247815.mp4,34.72,39.66,4.94,"можат да се искористат за многу работи. Но, сепак, јас не сметам","можат да се искористат за многу работи. Но, сепак, јас не сметам",no
clips/7615629414516247815_000012.wav,7615629414516247815.mp4,39.66,42.38,2.72,дека сите студенти не треба да заемаат студенцки оброк,дека сите студенти не треба да заемаат студентски оброк,yes
clips/7615629414516247815_000013.wav,7615629414516247815.mp4,42.38,44.48,2.1,или дека не треба да им се покачи.,или дека не треба да им се покачи.,no
clips/7615629414516247815_000014.wav,7615629414516247815.mp4,44.52,46.82,2.3,Ама имаме социјални категории кои што наистина,Ама имаме социјални категории кои што навистина,yes
clips/7615629414516247815_000015.wav,7615629414516247815.mp4,46.82,49.02,2.2,този студенцки оброк ќе го користат за оброк.,тој студентски оброк ќе го користат за оброк.,yes
clips/7615629414516247815_000016.wav,7615629414516247815.mp4,49.14,50.86,1.72,Нема да го користат за други работи.,Нема да го користат за други работи.,no
clips/7620163994858392840_000000.wav,7620163994858392840.mp4,0.0,11.04,11.04,"Денеска се одеме на Исаро, да дај ги гледачи. Денеска е 22. март, ден на пролета и на овај ден, за сите ние кои што сме од Штип е празник, води дошов одеме на Исаро.","Денеска се оде на Исаро, драги гледачи, денеска е дваесет и втори Март, ден на пролетта и на овај ден, за сите ние кои што сме од Штип е празник, заради тоа шо одеме на Исаро.",yes
clips/7620163994858392840_000001.wav,7620163994858392840.mp4,15.88,18.76,2.88,"Значи вака, има неколку теории што се праве на овај ден.","Значи вака, има неколку теории што се праве на овај ден.",no
clips/7620163994858392840_000002.wav,7620163994858392840.mp4,18.98,29.18,10.2,"Треба да се искачеш најгоре на Исаро, значи на врво на Исаро и затоа што има 40 скали за 40 маченици.","Треба да се искачеш најгоре на Исаро, значи на врво на Исаро и затоа што има 40 скали за 40 маченици.",no
