video,start,end,text,reason
DVTZhGAjMMX.mp4,0.0,1.0,ЧИСТАПОВРШИНА,bad transcript filter
DVTZhGAjMMX.mp4,1.0,2.0,UТО,bad transcript filter
DVTZhGAjMMX.mp4,21.0,22.0,00,bad transcript filter
DVTZhGAjMMX.mp4,31.0,32.0,ТОАЕМАГИЈАТА,bad transcript filter
DVTZhGAjMMX.mp4,32.0,33.0,HA INVISACOOK.,bad transcript filter
DVTrjsaiFtl.mp4,3.0,4.0,WIFD,bad transcript filter
DVTrjsaiFtl.mp4,4.0,5.0,WIFD HOWE 2OBE еи иrнл.и итижеr,bad transcript filter
DVTrjsaiFtl.mp4,5.0,6.0,WITD HOWE ГIOBE и ини ипижеr,bad transcript filter
DVTrjsaiFtl.mp4,6.0,7.0,WITD HOWE ГOBE инн ингите х Smarto era,bad transcript filter
DVTrjsaiFtl.mp4,8.0,9.0,NITD recera,bad transcript filter
DVTrjsaiFtl.mp4,20.0,21.0,"CRISTAL Collacfimn ANSER Collecion ANSER 3начи,треба да не праа прублем",bad transcript filter
DVTrjsaiFtl.mp4,24.0,25.0,ioнhи et do,bad transcript filter
DVTrjsaiFtl.mp4,26.0,27.0,beko,bad transcript filter
DVTrjsaiFtl.mp4,37.0,38.0,ИЗЛЕЗ ACA WNACA FIFA,bad transcript filter
DVTrjsaiFtl.mp4,40.0,41.0,3AЕЗ SCA,bad transcript filter
DVTrjsaiFtl.mp4,49.0,50.0,Еден избор MILD HOME STORE,bad transcript filter
DVTrjsaiFtl.mp4,50.0,51.0,Clio 1010 MILD HOME STO RE,bad transcript filter
DVY8sDGEQTB.mp4,0.0,1.0,РАДАР,bad transcript filter
DVY8sDGEQTB.mp4,32.0,33.0,ГОТВАЧКА,bad transcript filter
DVY8sDGEQTB.mp4,58.0,59.0,ЛИЦЕМЕРНА,bad transcript filter
DVY8sDGEQTB.mp4,64.0,66.0,ФИЛОЗОФ,bad transcript filter
DVY8sDGEQTB.mp4,69.0,70.0,ФИЛОЗОФ,bad transcript filter
DVl1RifDEvf.mp4,6.0,7.0,ПЛОЧА,bad transcript filter
DVl1RifDEvf.mp4,10.0,11.0,ГОТВЕНЕ.,bad transcript filter
DVl1RifDEvf.mp4,15.0,16.0,САМОСАДОТ.,bad transcript filter
DVl1RifDEvf.mp4,16.0,17.0,ЗНАЧИДЕКА,bad transcript filter
DVl1RifDEvf.mp4,17.0,18.0,ГОТВЕНЕТО,bad transcript filter
DVl1RifDEvf.mp4,18.0,19.0,СЕРВИРАНЕТОМОЖЕ,bad transcript filter
DVl1RifDEvf.mp4,19.0,20.0,ДАСЕОПРИТ,bad transcript filter
DVl1RifDEvf.mp4,26.0,27.0,МИНИМАЛИСТИЧКА.,bad transcript filter
DVl1RifDEvf.mp4,30.0,31.0,ДОПОЛНИТЕЛЕН,bad transcript filter
DVl1RifDEvf.mp4,33.0,34.0,НАКУJНАТА.,bad transcript filter
DVnohhPjHzN.mp4,0.0,1.0,3,bad transcript filter
DVnohhPjHzN.mp4,13.0,14.0,Ајде!!!,bad transcript filter
DVnohhPjHzN.mp4,15.0,16.0,Флеви.,bad transcript filter
DVthVKMCE1f.mp4,14.0,15.0,црвена FILA FIL,bad transcript filter
DVyD8HRk8-5.mp4,3.0,4.0,PK,bad transcript filter
DW1YynhCNj4.mp4,6.0,7.0,КНИШКА?,bad transcript filter
DW1YynhCNj4.mp4,7.0,8.0,ДА.,bad transcript filter
DW1YynhCNj4.mp4,9.0,10.0,ЗЕМАНО.,bad transcript filter
DW1YynhCNj4.mp4,11.0,12.0,ДА.,bad transcript filter
DW1YynhCNj4.mp4,14.0,15.0,oress TEPAJTE,bad transcript filter
DW1YynhCNj4.mp4,15.0,16.0,AJ,bad transcript filter
DW1YynhCNj4.mp4,23.0,24.0,ПУЛЕКА,bad transcript filter
DW1YynhCNj4.mp4,32.0,33.0,STOP XE XE,bad transcript filter
DW6rWhyDBQA.mp4,3.0,4.0,13,bad transcript filter
DW6rWhyDBQA.mp4,6.0,7.0,Абене.оговарам...,bad transcript filter
DW6rWhyDBQA.mp4,8.0,9.0,He,bad transcript filter
DW6rWhyDBQA.mp4,10.0,11.0,Кeтe-иcпopac,bad transcript filter
DW6rWhyDBQA.mp4,13.0,14.0,АБЕА,bad transcript filter
DW6rWhyDBQA.mp4,15.0,16.0,Osti-tii.rabоt,bad transcript filter
DW6rWhyDBQA.mp4,17.0,18.0,ЖУВЕЛ-БЕ!,bad transcript filter
DW6rWhyDBQA.mp4,25.0,26.0,СИЗБАЛАНСИРАНО:,bad transcript filter
DW6rWhyDBQA.mp4,27.0,28.0,Ar,bad transcript filter
DW6rWhyDBQA.mp4,30.0,31.0,Сизмисланозава,bad transcript filter
DW6rWhyDBQA.mp4,32.0,33.0,HEM,bad transcript filter
DW6rWhyDBQA.mp4,33.0,34.0,ИШОДАГОТВАШ,bad transcript filter
DW6rWhyDBQA.mp4,35.0,36.0,(Cher's Kiss),bad transcript filter
DW6rWhyDBQA.mp4,38.0,39.0,МИШ,bad transcript filter
DW6rWhyDBQA.mp4,41.0,42.0,KaKB,bad transcript filter
DW6rWhyDBQA.mp4,44.0,45.0,рел,bad transcript filter
DW6rWhyDBQA.mp4,46.0,47.0,Три-дена,bad transcript filter
DW6rWhyDBQA.mp4,48.0,49.0,МЕМОДЕРНИЖЕНСКИ...,bad transcript filter
DW6rWhyDBQA.mp4,56.0,57.0,CONCEPT FOOD C A F BAR МЕНИ 500 КАЛОРИИ Тортиа Омлет 500 калории протеини јаглехидрати масти 500 43гр. 33rp. 18гр.,bad transcript filter
DW6rWhyDBQA.mp4,57.0,58.0,G CONCEPT FOODCAF BAR МЕНИ 500 КАЛОРИИ Паста CO нилешко габи 500 калории јаглехидрати масти протеини 11гр. 44гр. 50рр. 500,bad transcript filter
DW6rWhyDBQA.mp4,58.0,59.0,CONCEPT FOODCAF BAR МЕНИ 5ОО КАЛОРИИ T yHa сеnдвич 500 калории протеини јаглехидрати масти 500 51рр. 45рр. 13гр.,bad transcript filter
DW6rWhyDBQA.mp4,59.0,61.0,CONCEPT FOODCAF BAR МЕНИ 5О0 КАЛОРИИ Пица 500 калории протеини јаглехидрати масти 40гр. 18гр. 500 39гр.,bad transcript filter
DW6rWhyDBQA.mp4,61.0,62.0,CONCEPT FOODCAF BAR МЕНИ 500 КАЛОРИИ Протеински 6ap 500 калории протеини јаглехидрати масти 500 43гр. 47гр. 16гр.,bad transcript filter
DW6rWhyDBQA.mp4,62.0,63.0,W CONCEPT FOODCAF BAR,bad transcript filter
DW6rWhyDBQA.mp4,63.0,64.0,CONCEPT BAR FOODCAF,bad transcript filter
DW9RYLJDJHl.mp4,9.0,10.0,m,bad transcript filter
DW9RYLJDJHl.mp4,14.0,15.0,DREAKINGNEWS,bad transcript filter
DW9RYLJDJHl.mp4,15.0,16.0,ONEWSBREAK BREAKING NEWS LIVE,bad transcript filter
DW9RYLJDJHl.mp4,16.0,17.0,SMEN,bad transcript filter
DWEgZNkjJOT.mp4,2.0,3.0,Добро е Баба Ружо microlife 141,bad transcript filter
DWMDVjRD1H4.mp4,36.0,40.0,ДОМАШНИ JAJLA Свежо собрани секој ден Оd кокошки со слободен дофат Природен BKYC 078532582 Контакт:,bad transcript filter
DWZWCFrDZ6P.mp4,0.0,1.0,DUCATIO HAT S БИЗНИС ДОГОВОР ЗА 6И3НИС ИНВЕСТИЦИЈА BO ПАМЕТНИ ГЛАВИ ОПИС НА ИНВЕСТИЦИЖАТА 90 МИНУТИ ЧИСТА НАУЧНА АКЦИЗА BO IQ UP! ДОБИВКИ ЗА РОДИТЕЛИТЕ -МНОГУ ЗАБАВА И НОВИ ДРУГАРИ УЧЕСНИК (ДЕТЕ) Име и Презиме: Датум: РОДИТЕЛИ (ИНВЕСТИТОРИ) Име на Родителотите: РОБО АВАНТУРА,bad transcript filter
DWZWCFrDZ6P.mp4,1.0,3.0,"UCATIO AT IS ГЗНИС ДОГОВОР ЗА ИНВЕСТИЦИЗА ОД БОО ДЕНА изнис ИНВЕСТИЦИЗА BO ПАМЕТНИ ГЛАВИ ОПИС НА ИНВЕСТИЦИЈАТА -90 МИНУТИ ЧИСТА НАУЧНА ЛКЦИЗА ВО 1О УР! ДОБИВКИ ЗА РОДИТЕЛИТЕ ИНЖЕНЕР ДОМА, А НЕ САМО ГЕЈМЕР! -УЧЕНЕ ЗА РОБОТИ, ПРОГРАМИРАНЕ И НАУКА -МНОГУЗАБАВА И НОВИ ДРУГАРИ УЧЕСНИК (ДЕТЕ) Име и Презиме: Датум: РОДИТЕЛИ (ИНВЕСТИТОРИ) Име на Родителотите: РОБО АВАНТУРА",bad transcript filter
