file_name,transcription,split
clips/7614176017476848914_000009.wav,"но имаме луѓе кои што истите тие луѓе се вмешани во студентски активизам не директно, но тоа не го мешаат со своите приватни определби.",train
clips/7614176017476848914_000010.wav,Не е етички доколку тие луѓе не знаат да направат разлика и се чисти партијски патрони.,train
clips/7615629414516247815_000000.wav,Јас ја водам таа иницијатива за зголемување на студентскиот оброк,train
clips/7615629414516247815_000003.wav,"Економски гледано, тој студентски оброк, доколку се инвестира,",train
clips/7615629414516247815_000016.wav,Нема да го користат за други работи.,train
clips/7614176017476848914_000000.wav,"Кога ќе спомнеме студентско организирање и студентско тело,",train
clips/7614176017476848914_000001.wav,веднаш на тие студенти им се препишува дека застапуваат интереси,train
clips/7614176017476848914_000002.wav,на одредена политичка партија или дека сакаат да спроведат,train
clips/7614176017476848914_000003.wav,одредена политичка пропаганда.,train
clips/7614176017476848914_000005.wav,"Секој си има право да си биде определен политички, приватно.",train
clips/7614176017476848914_000006.wav,"Но тоа, доколку е вмешано во студентскиот активизм,",train
clips/7614176017476848914_000007.wav,не е етички само доколку не знае да се стави разлика и граница.,train
clips/7614176017476848914_000008.wav,"Има луѓе, како што ги кажуваш, кои што се вмешани во партија и имаат приватен партиски живот, кај што се партиски активни,",train
clips/7615629414516247815_000001.wav,само по барање на студентите.,train
clips/7615629414516247815_000004.wav,"е многу побрзо ке имаме зграда на Финки,",train
clips/7615629414516247815_000005.wav,"многу поврзо диф ќе има зграда,",train
clips/7615629414516247815_000006.wav,многу побрзо ке се реконструират студентските домовини.,train
clips/7615629414516247815_000007.wav,Нема да ни треба донација од Европска Унија.,train
clips/7615629414516247815_000008.wav,Нема да ни требаат такви нас донации.,train
clips/7615629414516247815_000009.wav,"Ние дефинитивно, значи, околу 14 до 15 милиони евра се вложуваат",train
clips/7615629414516247815_000010.wav,секој пат во студентски оброк. Тоа се пари кои што навистина,train
clips/7615629414516247815_000011.wav,"можат да се искористат за многу работи. Но, сепак, јас не сметам",train
clips/7615629414516247815_000012.wav,дека сите студенти не треба да заемаат студентски оброк,train
clips/7615629414516247815_000013.wav,или дека не треба да им се покачи.,train
clips/7615629414516247815_000014.wav,Ама имаме социјални категории кои што навистина,train
clips/7615629414516247815_000015.wav,тој студентски оброк ќе го користат за оброк.,train
clips/7620163994858392840_000015.wav,и оттаму некаде почнуваат скалите и е напето,train
clips/7630833456850799892_000000.wav,Има ли некој кој што прв ги гледа видеата кога ќе ги измонтираш?,train
clips/7630833456850799892_000001.wav,"Јас, значи јас кога монтирам видеа, јас го гледам по сто пати, значи ќе го измонтирам првично ќе го оставам телефонот или компјутерот зависи.",train
clips/7630833456850799892_000002.wav,"После саат време повторно го отварам гледам дали ми фали нешто и вообичаено на децата, со моите деца, кои што, нели баба Ружа и внуците",train
clips/7630833456850799892_000003.wav,всушност тие се и внуците и кои ми помагаат и знаат понекогаш и критика да дадат иако се мали.,train
clips/7630833456850799892_000006.wav,Единааесет и седом.,train
clips/7630833456850799892_000007.wav,Кој повеќе ти помага? Или двајцата се вклучени?,train
clips/7630833456850799892_000008.wav,"И двајцата помагаат, да, реално и двајцата помагат",train
clips/7630833456850799892_000009.wav,"И морам да кажам дека работат, они буквално работат за мене за хонорар.",train
clips/7630833456850799892_000010.wav,За хонорар? Да тоа ми кажа и кога се слушнавме.,train
clips/7630833456850799892_000012.wav,"Добро, колкав хонорар? Договорени сте фиксно?",train
clips/7630833456850799892_000014.wav,значи сок и нешто благо или чипс.,train
clips/7630833456850799892_000017.wav,"Чекај сега, петстотина денари е хранарина, плус..",train
clips/7630833456850799892_000021.wav,"А, плус хранарина. Добро, хранарината не е вклучена.",train
clips/7635359970418101512_000012.wav,"Следно е оваа мисвак паста, која што сите ми ја препорачаа да си ја купам.",train
clips/7635359970418101512_000013.wav,Јас стварно не знам што е толку посебно околу оваа паста.,train
clips/7635359970418101512_000016.wav,"Можеби е природна и убава, не знам еве да не зборам пред време.",train
clips/7635359970418101512_000018.wav,"И следно што сум се купила, тоа е ова стапче.",train
clips/7635359970418101512_000019.wav,Затоа што во Египет порано немале нели четки за заби и се тоа и имат стапчиња такви.,train
clips/7635359970418101512_000022.wav,"Буквално оцет како мириса, најлошио оцет, тај.",train
clips/7635359970418101512_000024.wav,Среќа што сум родена во поновата ера и не сум морала да користам вакво оти...,train
