metadata_popravka
metadata_full;;;;;;;
file_name;text;source;split;video;start;end;duration
clips/dvtzhgajmmx_000000.wav;Чиста површина што не е жешка.;gold;train;DVTZhGAjMMX.mp4;0.0;1.98;1.98
clips/dvtzhgajmmx_000001.wav;Готвам директно на неа и веднаш можам да го допрам истото место без изгореници.;gold;train;DVTZhGAjMMX.mp4;2.12;7.38;5.26
clips/dvtzhgajmmx_000002.wav;Кога ќе го вратам садот, готвењето продолжува веднаш.;gold;train;DVTZhGAjMMX.mp4;7.48;10.94;3.46
clips/dvtzhgajmmx_000003.wav;Веројатно се прашувате како е тоа можно.;gold;train;DVTZhGAjMMX.mp4;11.1;13.58;2.48
clips/dvtzhgajmmx_000004.wav;Тоа е уред на иднината.;silver;train;DVTZhGAjMMX.mp4;13.76;15.06;1.3
clips/dvtzhgajmmx_000005.wav;Невидлива индукциска технологија вградена под оваа прекрасна керамичка работна плоча.;gold;train;DVTZhGAjMMX.mp4;15.26;20.26;5.0
clips/dvtzhgajmmx_000006.wav;Се загрева само садот, додека работната површина останува безбедна на допир.;gold;train;DVTZhGAjMMX.mp4;20.38;24.94;4.56
clips/dvtzhgajmmx_000007.wav;Истото место може да се користи за подготовка на храна, сечење, па дури и за јадење.;gold;train;DVTZhGAjMMX.mp4;24.94;30.44;5.5
clips/dvtzhgajmmx_000008.wav;Тоа е магијата на инвизакук.;silver;train;DVTZhGAjMMX.mp4;30.56;32.36;1.8
clips/dvtrjsaiftl_000000.wav;Баба ружо, мајни ми се, не си заидала по мене.;silver;train;DVTrjsaiFtl.mp4;0.34;3.58;3.24
clips/dvtrjsaiftl_000001.wav;Тука знаш ли шо ови лажици и бунели има?;silver;train;DVTrjsaiFtl.mp4;3.6;5.86;2.26
clips/dvtrjsaiftl_000002.wav;Ах, бе, аздисани неедни, добар ден.;silver;train;DVTrjsaiFtl.mp4;6.12;8.12;2.0
clips/dvtrjsaiftl_000003.wav;Шо ја фалe на моите лaжици и бунели од свадбата?;silver;train;DVTrjsaiFtl.mp4;8.2;10.5;2.3
;Златнички шо обовички се?;rejected;;DVTrjsaiFtl.mp4;10.58;11.56;0.98
;Ева, полек баба.;rejected;;DVTrjsaiFtl.mp4;12.28;13.26;0.98
clips/dvtrjsaiftl_000006.wav;Ама треба да траа со сос години, бе, ќере шо уво материјалче.;silver;train;DVTrjsaiFtl.mp4;13.36;16.1;2.74
clips/dvtrjsaiftl_000007.wav;Треба да прави впечаток.;gold;train;DVTrjsaiFtl.mp4;16.99;18.89;1.9
clips/dvtrjsaiftl_000008.wav;Значи, треба да не права проблеми, раат да се чинам бе ќере.;silver;train;DVTrjsaiFtl.mp4;19.3;22.28;2.98
clips/dvtrjsaiftl_000009.wav;Мора да е лично.;silver;train;DVTrjsaiFtl.mp4;23.78;24.9;1.12
clips/dvtrjsaiftl_000010.wav;Мора да е проверно, беше шилеже едно.;silver;train;DVTrjsaiFtl.mp4;26.68;28.84;2.16
clips/dvtrjsaiftl_000011.wav;Ама, мора да е ново. Ама, треба да е аслно, проверена работа.;silver;train;DVTrjsaiFtl.mp4;30.51;36.69;6.18
clips/dvtrjsaiftl_000012.wav;И ка ке напрааш есапо да не е скапо.;silver;train;DVTrjsaiFtl.mp4;36.87;40.27;3.4
clips/dvtrjsaiftl_000013.wav;Прв пат да согласам со снаата за нешто.;gold;train;DVTrjsaiFtl.mp4;43.01;45.13;2.12
clips/dvtrjsaiftl_000014.wav;Две генерации, две мислења. Еден избор.;silver;train;DVTrjsaiFtl.mp4;45.53;49.01;3.48
;Милки.;rejected;;DVTrjsaiFtl.mp4;49.45;49.89;0.44
