file_name,text,source,split,video,start,end,duration,ocr_score,ocr_recall,ocr_text,avg_logprob,no_speech_prob,reject_reason
clips/7614176017476848914_000000.wav,"Кога ќе спомнеме студентско организирање и студентско тело,",silver,train,7614176017476848914.mp4,0.0,3.78,3.78,53,1.0,"ХОРИ 30H ТЕЛМA Кога ке спомнеме студентско организирање и студентско тело, ХОРИ 30H TEЛМA веднаш нас,на тие студенти им се припишува дека застапуваат интереси",-0.132,0.0,
clips/7614176017476848914_000001.wav,веднаш на тие студенти им се припишува дека застапуваат интереси,silver,train,7614176017476848914.mp4,3.82,9.24,5.42,41,1.0,"ХОРИ 30H ТЕЛМA Кога ке спомнеме студентско организирање и студентско тело, ХОРИ 30H TEЛМA веднаш нас,на тие студенти им се припишува дека застапуваат интереси ХОРИ 3OH на одредена политичка партија, ХОРИ 30H ТEЛМA на одредена политичка партија",-0.132,0.0,
clips/7614176017476848914_000002.wav,на одредена политичка партија или дека сакаат да спроведат,silver,train,7614176017476848914.mp4,9.24,12.94,3.7,53,1.0,"ХОРИ 3OH на одредена политичка партија, ХОРИ 30H ТEЛМA на одредена политичка партија ХОРИ 30H ТEЛМA или дека сакаат да спроведат одредена политичка пропаганда",-0.132,0.0,
clips/7614176017476848914_000003.wav,одредена политичка пропаганда.,silver,train,7614176017476848914.mp4,12.94,14.98,2.04,43,1.0,ХОРИ 30H ТEЛМA или дека сакаат да спроведат одредена политичка пропаганда ХОРИ 30H ТЕЛМA Каде е границата?,-0.132,0.0,
,Хаде е границата?,rejected,,7614176017476848914.mp4,15.02,15.88,0.86,0,0.0,,-0.132,0.0,too short
clips/7614176017476848914_000005.wav,"Секуј си има право да си биде определен политички, приватно.",silver,train,7614176017476848914.mp4,16.1,21.62,5.52,54,1.0,"ХОРИ 3OH TEЛМA секој си има право да си Биде определен политички приватно. ХОРИ 3OH TEЛMA Но, тоа доколку е вмешано во студентскиот активизам не е етички,",-0.132,0.0,
clips/7614176017476848914_000006.wav,"Но тоа, доколку е вешено во студентскиот активизм,",silver,train,7614176017476848914.mp4,21.96,24.92,2.96,47,0.8,"ХОРИ 3OH TEЛMA Секоj си има право да си биде определен политички приватно. ХОРИ 3OH TEЛMA Но, тоа доколку е вмешано во студентскиот активизам не е етички,",-0.132,0.0,
clips/7614176017476848914_000007.wav,не е етички само доколку не знае да се стави разлика и граница.,silver,train,7614176017476848914.mp4,25.64,29.46,3.82,44,1.0,"ХОРИ 3OH TEЛMA Но, тоа доколку е вмешано во студентскиот активизам не е етички, ХОРИ 3OH ТEЛМA само доколку не знае да се стави разлика и граница. ХОРИ 3OH TEЛМA Има луге, како што ги кажав, коишто се вмешани во партија",-0.132,0.0,
clips/7614176017476848914_000008.wav,"Има луѓе, како што ги кажува, кои што се вмешани во партија и имаат приватен партијски живот, кај што се партијски активни,",silver,train,7614176017476848914.mp4,30.1,39.3,9.2,55,0.71,"ХОРИ 3OH TEЛМA Има луге, како што ги кажав, коишто се вмешани во партија ХОРИ 3OH ТЕЛМA ХОРИ 3OH TEЛМA и имаат приватен партиски увот каде штосе партиски активни. ХОРИ 3OH ТEЛМA ХОРИ 3OH ТEЛМA Но,имаме луге, коишто истите тие луге, се вмешани во студентски",-0.091,0.004,
clips/7614176017476848914_000009.wav,"но имаме луѓе кои што истите тие луѓе се вмешани во студенцки активизам не директно, но тоа не го мешаат со своите приватни определби.",gold,train,7614176017476848914.mp4,39.36,50.33,10.97,60,0.75,"ХОРИ 3OH ТEЛМA ХОРИ 3OH ТEЛМA Но,имаме луге, коишто истите тие луге, се вмешани во студентски ХОРИ 30H TEЛMA активизам, не директно, но тоа не го мешаат ХОРИ 30H TEЛМA активизай ne онато мешаат ХОРИ 3OH TEЛМA со своите приватни определби. ХОРИ 3OH TEЛMA не е етички, доколку тие луге не знаат",-0.091,0.004,
clips/7614176017476848914_000010.wav,Не е етички доколку тие луѓе не знаат да направат разлика и се чисти партијски патрони.,gold,train,7614176017476848914.mp4,50.77,57.01,6.24,58,0.9,"ХОРИ 3OH TEЛМA со своите приватни определби. ХОРИ 3OH TEЛMA не е етички, доколку тие луге не знаат ХОРИ 3OH TEЛMA да направат разлика и се чисти пАРтиски полтрони. ХОРИ 30H ТЕЛМA ПЕТОК 20:00 C.3 EП.15",-0.091,0.004,
clips/7615629414516247815_000000.wav,Јас ја водам таа иницијатива за заголемување на студентскиот оброк,gold,train,7615629414516247815.mp4,0.0,3.24,3.24,68,1.0,ХОРИ зон ТЕЛМA Јас ја водам таа иницијатива за зголемување на ХОРИ зон ТEЛMA студентскиот оброк само по барање на студентите,-0.168,0.0,
clips/7615629414516247815_000001.wav,само по барање на студентите.,silver,train,7615629414516247815.mp4,3.24,4.52,1.28,33,1.0,"ХОРИ зон ТEЛMA СТУДЕНТСКИОТ ОБРОК САМО по барање на студентите ХОРИ зоH ТEЛМA Економски гледано, тој студентски ОБРОК ДОКОЛКУ се инвестира,",-0.168,0.0,
,"А, това е личен став?",rejected,,7615629414516247815.mp4,4.6,5.56,0.96,0,0.0,,-0.168,0.0,too short
clips/7615629414516247815_000003.wav,"Економски гледано, тој студентски оброк, доколку се инвестира,",gold,train,7615629414516247815.mp4,5.56,10.6,5.04,79,1.0,"ХОРИ зоH ТEЛМA Економски гледано, тој студентски ОБРОК ДОКОЛКУ се инвестира, ХОРИ 3оH ТEЛМA",-0.168,0.0,
clips/7615629414516247815_000004.wav,"е многу поврзо ке имаме зграда на Финки,",silver,train,7615629414516247815.mp4,11.26,13.72,2.46,43,0.8,"ХОРИ 3оH ТEЛМA ХОРИ зон TEЛMA ем многу побрзо ке имаме 3rpада Ha ФИНКИ ХОРИ TEЛMA МНОГУ ПОБРЗо, диВ КЕ ИМА 3rpaдa",-0.168,0.0,
clips/7615629414516247815_000005.wav,"многу поврзо ке имаме дивки на зграда,",silver,train,7615629414516247815.mp4,13.88,15.38,1.5,29,0.6,"ХОРИ зон TEЛMA ем многу побрзо ке имаме 3rpaдa Ha ФИНКИ ХОРИ TEЛMA МНОГУ ПОБРЗо, диВ КЕ ИМА 3rpaдa ХОРИ 3оH TEЛМA мноГУ поБРзо ке се реконструираат студентските домови.",-0.168,0.0,
clips/7615629414516247815_000006.wav,многу поврзо ке се реконструират студентските домовини.,silver,train,7615629414516247815.mp4,15.54,18.82,3.28,46,1.0,"ХОРИ ТEЛМA мноГУ ПОБРзо, диВ ке ИМА 3rpaда, ХОРИ 3оH TEЛМA мноГУ поБРзо ке се реконструираат студентските домови. ХОРИ 3оH TEЛMA Нема да ни требаат донации од Европската униjа.",-0.168,0.0,
