file_name,source,original_text,text,status,reviewed_at
clips/7614176017476848914_000009.wav,gold,"но имаме луѓе кои што истите тие луѓе се вмешани во студенцки активизам не директно, но тоа не го мешаат со своите приватни определби.","но имаме луѓе кои што истите тие луѓе се вмешани во студентски активизам не директно, но тоа не го мешаат со своите приватни определби.",edited,2026-09-13T23:00:36
clips/7614176017476848914_000010.wav,gold,Не е етички доколку тие луѓе не знаат да направат разлика и се чисти партијски патрони.,Не е етички доколку тие луѓе не знаат да направат разлика и се чисти партијски патрони.,kept,2026-09-13T23:00:50
clips/7615629414516247815_000000.wav,gold,Јас ја водам таа иницијатива за заголемување на студентскиот оброк,Јас ја водам таа иницијатива за зголемување на студентскиот оброк,edited,2026-09-13T23:01:16
clips/7615629414516247815_000003.wav,gold,"Економски гледано, тој студентски оброк, доколку се инвестира,","Економски гледано, тој студентски оброк, доколку се инвестира,",kept,2026-09-13T23:01:21
clips/7615629414516247815_000016.wav,gold,Нема да го користат за други работи.,Нема да го користат за други работи.,kept,2026-09-13T23:01:39
clips/7614176017476848914_000000.wav,silver,"Кога ќе спомнеме студентско организирање и студентско тело,","Кога ќе спомнеме студентско организирање и студентско тело,",kept,2026-09-13T23:04:12
clips/7614176017476848914_000001.wav,silver,веднаш на тие студенти им се припишува дека застапуваат интереси,веднаш на тие студенти им се препишува дека застапуваат интереси,edited,2026-09-13T23:04:36
clips/7614176017476848914_000002.wav,silver,на одредена политичка партија или дека сакаат да спроведат,на одредена политичка партија или дека сакаат да спроведат,kept,2026-09-13T23:04:50
clips/7614176017476848914_000003.wav,silver,одредена политичка пропаганда.,одредена политичка пропаганда.,kept,2026-09-13T23:04:54
clips/7614176017476848914_000005.wav,silver,"Секуј си има право да си биде определен политички, приватно.","Секој си има право да си биде определен политички, приватно.",edited,2026-09-13T23:05:16
clips/7614176017476848914_000006.wav,silver,"Но тоа, доколку е вешено во студентскиот активизм,","Но тоа, доколку е вмешано во студентскиот активизм,",edited,2026-09-13T23:05:37
clips/7614176017476848914_000007.wav,silver,не е етички само доколку не знае да се стави разлика и граница.,не е етички само доколку не знае да се стави разлика и граница.,kept,2026-09-13T23:05:43
clips/7614176017476848914_000008.wav,silver,"Има луѓе, како што ги кажува, кои што се вмешани во партија и имаат приватен партијски живот, кај што се партијски активни,","Има луѓе, како што ги кажуваш, кои што се вмешани во партија и имаат приватен партиски живот, кај што се партиски активни,",edited,2026-09-13T23:06:16
clips/7615629414516247815_000001.wav,silver,само по барање на студентите.,само по барање на студентите.,kept,2026-09-13T23:06:22
clips/7615629414516247815_000004.wav,silver,"е многу поврзо ке имаме зграда на Финки,","е многу побрзо ке имаме зграда на Финки,",edited,2026-09-13T23:06:40
clips/7615629414516247815_000005.wav,silver,"многу поврзо ке имаме дивки на зграда,","многу поврзо диф ќе има зграда,",edited,2026-09-13T23:08:12
clips/7615629414516247815_000006.wav,silver,многу поврзо ке се реконструират студентските домовини.,многу побрзо ке се реконструират студентските домовини.,edited,2026-09-13T23:08:30
clips/7615629414516247815_000007.wav,silver,Нема да ни треба донација од Европска Унија.,Нема да ни треба донација од Европска Унија.,kept,2026-09-13T23:08:34
clips/7615629414516247815_000008.wav,silver,Нема да ни треба такви нас донација.,Нема да ни требаат такви нас донации.,edited,2026-09-13T23:09:19
