Table 1
video;dialect;clips;score;sample_text
DUlcWvuDCet.mp4;yes;4;0,121;Баба ружо тава е AI. Шо е бе тва AI? Тава е вештачка интелигенција од компјутер направано и на чејанка за 8 марта. Полека бабе, не уд тии! Ти се за дедо ти помекички,
DSfrXg2DL6K.mp4;yes;10;0,118;Баба Ружо, шо тее? Ох, синусите. Грлото. Абе, ај, ти па се прежавеала и снаја и свекрво саа па за едни синуси. Ај, ке те носиме на солено. На море ли ќе ме носате? Ај! Да бе, дека тва боре? Плезо на плезо. Абе, Баба Ружо, тва ли ја мама шо викао да с
DWwZMWEjCxc.mp4;yes;14;0,118;Абе страх мее!! Нем бе баба нем Ејгиди шо доживејах!! Абе Баба Ружо, не боле как комарче е, глеј. Абе ај ти јака женска си!! Нели си модерна, ти, баба? Не боле, Баба Ружо, не боле, бабружо. Ама ќе си поубава од снаата!!! Шо ке и праааме? Еј Баба Ружо
DVyD8HRk8-5.mp4;yes;5;0,113;Баб Ружо! Баб Ружо! Шо правате? Еј е ќере шо? Децата ја ги играат си мирни са гласни. Да, гласни има. Дремнала сам малко од таа серијата што га гледах. Ај, бабе, една чаша војчка ми донеси. Сее контрола не се секири. Ај, на баба златни деца, мори вид
DVjSBMNDJw6.mp4;yes;4;0,099;Добро бе, нели бе е срам бе? Стара жена да уставате да чекам таму на цементото да седам со тенки халхопки бе, цел живот да се каснел бе, как може бе, цел живот да се каснело бе, се да се каснело, прво одделение, второ одделение. Забравих што ќе ти ка
DWMDVjRD1H4.mp4;yes;5;0,092;Ке ми кажат, Баба Ружо глеј си кокошките, сакам бе кере, ама не можам веќе, ама има некој многу шо ного поарно што ги гледе. Види ги, живеат поуво од министри, поразгалени се, уд син единец на мајка, а порелаксирани се од снаата коо оде кај сваќата н
DW9RYLJDJHl.mp4;yes;4;0,088;Слуши, ќе ти кажам шо сам разберала, ама на никој не смееш да зуцнаш. Евааа!!! Шо расправаш? Вонредни вести се јавуваме у центар на Струмица. Ја шо мојата внукичка ми кажа да не кажувам.
7671331711338253575.mp4;yes;19;0,079;Ало Баба Ружо. Абе земах од таа твојта книга да правам торта ти што си га праваш многу. И саа, турих кафеен филџан пише. Млеко. Арно имах кафеен де. Турих, пише к лажица, ваљда и она кафена се мисле, ама немам кафена лажица. И саа, тука пише од око б
DUOAkd1jPHn.mp4;yes;14;0,071;Полека баба? Шо е тава? Тава е бабе мојата покана за свадба, оште пред 40 години од дељо га принтах. На део ти коста обеле, а она тука оште бојата и стоо. Тава тука е појако и поцврсто од карактеро на прабабата ти бог да га просте. За тука ка прауди.
DVTrjsaiFtl.mp4;yes;15;0,066;Баба ружо, мајни ми се, не си заидала по мене. Тука знаш ли шо ови лажици и бунели има? Ах, бе, аздисани неедни, добар ден. Шо ја фалe на моите лaжици и бунели од свадбата? Ама треба да траа со сос години, бе, ќере шо уво материјалче. Треба да прави 
DUV_03Fjr5A.mp4;yes;22;0,065;Шо праате бе баба ви? Џендер ревил бабо. Шо е тава? Ќе откриваме шо е поло со забава ќе праваме. Нели го видеете на ехо саа? Шо тука ќе праат со балони со археолози? Тортата е на 3 спрата, значи само од вториот ќе земате и тука ќе биде бојата на бебе
DVthVKMCE1f.mp4;yes;12;0,063;Ало, Беттче, падна ви секиирта у медо. Ного арен дечко има таа твоја внукичка, многу ма аресе. И не го познавам. И шо е битно, од која фамилија, човек по пазарлаку се познава. И как што има врска. Некнии, случајно го видех, грабнал 5-6 кесина значи, 
DVY8sDGEQTB.mp4;yes;20;0,062;Јас ништо не питувам. Само гледам. Саа ќе виите вии топката. Јас не го оговарам. Јас нејќам да кажам кој го фрле ѓубрато вонка од контењеро да не излезе после оти Рада била ѓубрарката у маалта. Ева, ева. Бабе, ело тука на една Савето. На сајве, сав н
DW6rWhyDBQA.mp4;yes;17;0,058;Знааш шо има ново. Аман, Мори Снежо, изгорна се да уговараш, еј! Абе не уговарам. Цел град говоре за него. Не се дружи со Вера, ќе те испорасипа. Мене нема интересире ништо!. Абе слуша саа ти, ости тии работи. Жено, живеј бе! Знаете ли што има ново у
DTDxPQYjOM6.mp4;yes;16;0,055;Диги на ојсо! Диги на ојсо! Ти, маленку, гледјне изедаш јадејнто у грбо ќе ти го набутам, слушна ли ме? А ти, Море Шмидт Парашко, дека ќе одеш таква бајнана? Два сата се тушира… Егиди ујделе зајделе кату муи без глави шетте Пос ќе викаш, баба Ружо из
DSXtaZujL0d.mp4;yes;18;0,049;Дедо Мраз. Чек да те питам нешто? Ти коо генерација си? Пензиичка колко зимаш? Која категорија си? Мор ти лапаш некоја германска пензија, мај, ајде седи си. Дедо Мраз извини, уште тва нешто. Абе осигурен ли си, там гооре ако се лизнеш негде сос тии к
DQhkaD3DMTW.mp4;yes;11;0,048;Држи, мајка, држи, држи, држи! Мале мамоо.. Шо си се качила гооре на скаалта? Абе сине Баба ти Ружа од ка си скрши куко Ништо не знааме шо се дешава у маалта! Ај как сите човеци да систаваме ОД Lab-Tech камери? А тва е AI ли е? AI па, се да е AI. Lab
DR7eR3zjJSt.mp4;yes;14;0,041;Ај мајни се уд телевизоро, така ти стаклар да не е. И јас сакам авион, ама нема. Кере, покриј си полвинките, треба да раѓеш. Ости, слушам. Нема да седаш на цименто. Само нии са слушаме у маалта. Нема што да правиш, ми фат се за ушиинта и играј оро. С
DW1YynhCNj4.mp4;yes;11;0,039;Абе, дека сте? Е, ја дојдееме. Се ли земате од дома? Одобрени од родител? Кажете ли се дома? А баба Ружа? Полека бе, бабе, ќе ме забораваате, полека. Ќе ме забораваате. Ајде, баба Ружа, давај торбите. Ако господ те забраае, ние нема да те забраеме. Х
DU3ftiJDJc2.mp4;yes;9;0,036;Документи и дали имаш пијано? Да питам нешто, бесплатна ви е доставата, нели? Тука на Кружниот Ток колегата да му однесете Од ти фокачичите тие убавите, така... Од мене? Од дека да почнам? Ду 200 ќе живеем, 250 И еден сок ми донеси Абе ај и на мене е
DXR2agbiGLt.mp4;yes;11;0,036;Извини, извини. Полека баба, не се секири. Слуши да те питам нешто. Ти газдата ли си? Не, не си газда, а? Ими, зашо возеш си газда? Наместо да одмараш. Слуша да те питам нешто. Ти јаден ли си, бе сине? А? Мајца, имаш ли одоздола? Ева Боже, ќе ја измр
DT-uOXeE7EM.mp4;yes;9;0,035;Полека, бабе, полека! Слуша, ќере, клетва да не те фане од мајка. Таа е најтешка клетва. Мојта ќерка, даа жива и здрава, ка беше маленка, полека, бабе, многу темпераментна беше, многу лоша машкоданка. Се на мене ма викат у шкоолто за нее, га викаа на
DWEgZNkjJOT.mp4;yes;3;0,031;Добро е Баба Ружо, притисоко стабилизиран, ама деца ќе мора да га оставате баба малко да одморе. Ама нии сме гладни. Гладни ли сте? Ајде, одма станувам да направам нешто за јадене.
DSFir4djPDG.mp4;yes;17;0,026;Јас ак са фрлам у ректа, ти ќе са фрлеш ли бе? Ела, ела, не те тепам, ела, ела. Е, ти па нема на кој да заличеш. Шалтако те е на муцката. Ке јадаш и оро ќе играш. Џигеро ми го издеете. Јас сам та родила, јас и ќе та... чинам. Ке та напрам сам да са а
DV_yTB4j77s.mp4;yes;21;0,022;Деца, а бе шо направиите? На Олимпијата, сите ги кукааме. Ова, месив дабалју бабо. Не си сувестна колку аура поинтс добивме за IQ-ап струмица. Бабо, ние бееме мејн керактер на финаалто. Математиката ја решиме со инфинит риз, никој не може ништо. Риз,
7649371967849549077.mp4;no;11;0,007;Стварно мене народот не ми,мислам стварно не сте ми јасни во чат. Не се возите со воз, абе крш се возовите ние немаме пруга, гледај како е во Европа врврвр... Ајде да направиме пруга, ама зашто да правиме пруга сега, тоа пруга ке се краде. А работна 
7620163994858392840.mp4;no;33;0,003;Денеска се оде на Исаро, драги гледачи, денеска е дваесет и втори Март, ден на пролетта и на овај ден, за сите ние кои што сме од Штип е празник, заради тоа шо одеме на Исаро. Значи вака, има неколку теории што се праве на овај ден. Треба да се искач
7638352073045576978.mp4;no;22;0,003;Добро дојде во македонски тикток, пред две недели или нешто така, јас имав фотосесија и I was like, I have to be hot for this photoshoot и јас отиде да си купам некој сет за вежбање и најдов еден прекрасен сет од New Yorker. by the way, јас немаше по
Dc9BEPkuPRX.mp4;no;45;0,002;Ме прашаа како го поминав ова лето. Бегаме од топлотен бран во Скопје и одиме во Берово. Берово ми е едно од оние места каде што сфаќаш колку многу ни недостига едноставниот живот. Овде луѓето се уште си произведуваат своја храна, си берат од дворот,
7614176017476848914.mp4;no;10;0;Кога ќе спомнеме студентско организирање и студентско тело, веднаш на тие студенти им се препишува дека застапуваат интереси на одредена политичка партија или дека сакаат да спроведат одредена политичка пропаганда. Секој си има право да си биде опред
7615629414516247815.mp4;no;16;0;Јас ја водам таа иницијатива за зголемување на студентскиот оброк само по барање на студентите. Економски гледано, тој студентски оброк, доколку се инвестира, е многу побрзо ке имаме зграда на Финки, многу поврзо диф ќе има зграда, многу побрзо ке се
7630833456850799892.mp4;no;23;0;Има ли некој кој што прв ги гледа видеата кога ќе ги измонтираш? Јас, значи јас кога монтирам видеа, јас го гледам по сто пати, значи ќе го измонтирам првично ќе го оставам телефонот или компјутерот зависи. После саат време повторно го отварам гледам
7635359970418101512.mp4;no;36;0;Што сум си купила од Египет, и ако случајно некоја што одеш за Египет, да знаеш што можеш да си купиш, значи ово е препорака од мене. First things first, јас влезе у аптеката, прашав имате ли нешто за коса, некој oil, I don't know, препорачај ми, зем
7649371969657294100.mp4;no;33;0;Има еден случај, за кој што ми е тешко да зборам, затоа што е многу трогателен случај, а тој е случајот со момчето, чие што органи беа донирани минатата недела, вечна му слава, загина во сообраќајна незгода. Тој е младо дете, чие што семејство одлучи
7651642155898785032.mp4;no;17;0;Најлоша работа што можеш да кажеш на некој што сака добра слика е само застани и позирај. Затоа што сите знаеме дека најдобрите фотки никогаш не изгледат наместено. Тие се случуваат додека се движиш, додека не мислиш на камерата. Ете со новиот Шаоми 
7659733710522109202.mp4;no;8;0;Сега ме носеш таму кај гуштерите да пијам кафе. Значи има добри ревјус на Гугл. Одеме у зу кафе. Погодите, кој го нејде Зу Кафе? од нас двајца. види и маче спиe унтре. Чекај, ако не ќе им кажам дека сум инфлуенсерка. На секоја маса имаат нешто јас то
