file_name,transcription,split
clips/7614176017476848914_000009.wav,"но имаме луѓе кои што истите тие луѓе се вмешани во студенцки активизам не директно, но тоа не го мешаат со своите приватни определби.",train
clips/7614176017476848914_000010.wav,Не е етички доколку тие луѓе не знаат да направат разлика и се чисти партијски патрони.,train
clips/7615629414516247815_000000.wav,Јас ја водам таа иницијатива за заголемување на студентскиот оброк,train
clips/7615629414516247815_000003.wav,"Економски гледано, тој студентски оброк, доколку се инвестира,",train
clips/7615629414516247815_000016.wav,Нема да го користат за други работи.,train
clips/7620163994858392840_000015.wav,и од таму нека да почнуват скалите и е напето.,train
clips/7630833456850799892_000000.wav,Има ли некој кој што прв ги гледа видејата која ќе ги измунтираш?,train
clips/7630833456850799892_000001.wav,"Јас, значи, аз кога ги мунтирам видеја, јас го гледам по сто пати, значи ќе го измунтирам, првиш не го оставам телефона или компјутерот, зависи.",train
clips/7630833456850799892_000002.wav,"После саат време, повторно го отварам, гледам дали ми фали нешто и вообишто на децата, со моите деца, кои што, нели Бабаружи и ФНУЦите,",train
clips/7630833456850799892_000003.wav,"во сочност тие се и фнуците, кои ми помагаат и знаат по неква што критика да дадат, иако се мали.",train
clips/7630833456850799892_000006.wav,Единааесет и седом.,train
clips/7630833456850799892_000007.wav,Кој повеќе ти помага? Или двајцата се вклучене?,train
clips/7630833456850799892_000008.wav,"И двајцата помага, да, реално и двајцата помага.",train
clips/7630833456850799892_000009.wav,"И морам да кажам дека работат, они буквално работат за мене за хонорар.",train
clips/7630833456850799892_000010.wav,"За хонорар? Да, тоа ми кажа која се слушавме.",train
clips/7630833456850799892_000012.wav,"Добро го, како хонорар. Договорене сте фикснал?",train
clips/7630833456850799892_000014.wav,"значи соки и нешто, благо или чипс.",train
clips/7630833456850799892_000017.wav,"Чекай сега. 500 денари е хранарина, плус...",train
clips/7630833456850799892_000021.wav,"А, плус хранарина. Добро, хранарината не е вклучена.",train
clips/7635359970418101512_000012.wav,"Следно е оваа мисвак паста, која што сите ми препоречава да си ја купам.",train
clips/7635359970418101512_000013.wav,Јас стварно не знам што е толку по-синокула е оваа паста.,train
clips/7635359970418101512_000016.wav,"Може би е природна и убава, не знам е ли да не зборам пред време.",train
clips/7635359970418101512_000018.wav,"И следно што сум се купила, тоа е ово стапче.",train
clips/7635359970418101512_000019.wav,"Задоша у Египет порано, немале четки за заби и сетоа, и имат стапчинја такви.",train
clips/7635359970418101512_000022.wav,"Буквално оцето како мирише, најлучиот оцето, тај.",train
clips/7635359970418101512_000024.wav,Среки што сум мрдена по новата ера и не сум морала да користувам вакуолот и...,train
clips/7635359970418101512_000029.wav,"Кажува дека има како седативно действо некој или смежувало,",train
clips/7635359970418101512_000030.wav,ама оно е како не се препорачува да возиш кола.,train
clips/7651642155898785032_000007.wav,"Ако си како мене и цел ден се снимаш, сликаш, скролаш, пак се снимаш,",train
clips/7651642155898785032_000008.wav,што ова е делот што најмногу ке ти се допадне.,train
clips/7651642155898785032_000011.wav,"И уште нешто, ако го земеш до 28. июни,",train
clips/7651642155898785032_000016.wav,"Не позирай, слободно движе се.",train
clips/7659733710522109202_000008.wav,"Чека, ако нека им кажам дека сум инфуенсарка.",train
clips/7671331711338253575_000002.wav,Да бе замаху таа твојта книга да правам таа торта ти што сега праваш многу.,test
clips/7671331711338253575_000005.wav,Арно имах кафеен де.,test
clips/7671331711338253575_000006.wav,"Турих пише к лажица, ваљда и она кафеена се мисля, ама немам кафеена лажица.",test
clips/7671331711338253575_000011.wav,"Зе ни проби тама, растрачки се у кујната,",test
clips/7679118148963978517_000000.wav,Дата центрите се еднината на човештвото и владата ќе го преземе институционалниот ризик и ќе ги изгради.,train
clips/7679118148963978517_000002.wav,"били премирот Мицкоске. Македонија треба да одлучи дали сака да биде лидер во регионот или на дното,",train
clips/7679118148963978517_000003.wav,но од оваа индустрија владата нема да се откажа.,train
clips/7679118148963978517_000004.wav,"и тука, сакам да кажам, дека они испраќаат пораки кои што се стари 10, 15, 20 години, има сосема по инакви начини на наладење, во зависност од намената на тие дата центари, дали тие ќе се користат за вешточка интелигенција или за други цели, но исто така сакам и една друга работа да ја кажам, која што до сега многу малку се комуницира, ние во државата имаме дата центар,",train
clips/7679118148963978517_000005.wav,"Ние имаме дата центар во Прилеп, но тој дата центар е практично секундарен или дата центар кој што ние го нарекуваме рекавари дата центар.",train
clips/7679118148963978517_000006.wav,"Сега, секоја институција од сайбер напади се брани како знае и уме.",train
clips/7679118148963978517_000007.wav,"А потоа, тој примарен датацентар ќе го поврзаме со веќе постоечкиот секундарен датацентар,",train
clips/7679118148963978517_000008.wav,"кој што е во Прилепско, за да имаме заштита.",train
clips/7679118148963978517_000009.wav,"Ако не да е боже настане, би рекол, упад во системот на интероперабилност,",train
